Card Name,count,Avg count in decks,In percentage of decks,Spright Runick,deck count: 7
main
Lava Golem,20,2.86,100.000%,,
Spright Jet,16,2.29,100.000%,,
Spright Red,7,1.0,100.000%,,
Spright Blue,20,2.86,100.000%,,
Spright Carrot,7,1.0,100.000%,,
Ipiria,9,1.29,100.000%,,
Capshell,7,1.0,100.000%,,
Wind-Up Kitten,7,1.0,100.000%,,
Spright Starter,20,2.86,100.000%,,
Runick Fountain,14,2.0,100.000%,,
Spright Smashers,7,1.0,100.000%,,
Runick Freezing Curses,21,3.0,100.000%,,
Runick Tip,21,3.0,100.000%,,
Runick Slumber,20,2.86,100.000%,,
Triple Tactics Talent,6,0.857,42.857%,,
Runick Flashing Fire,21,3.0,100.000%,,
Runick Destruction,21,3.0,100.000%,,
Runick Dispelling,6,0.857,71.429%,,
Runick Smiting Storm,7,1.0,100.000%,,
Metalfoes Fusion,1,0.143,14.286%,,
Forbidden Droplet,2,0.286,14.286%,,
Infinite Impermanence,12,1.71,57.143%,,
Evenly Matched,9,1.29,42.857%,,
Spright Pixies,1,0.143,14.286%,,
extra
Geri the Runick Fangs,7,1.0,85.714%,,
Hugin the Runick Wings,17,2.43,85.714%,,
Number 29: Mannequin Cat,3,0.429,28.571%,,
Onibimaru Soul Sweeper,7,1.0,85.714%,,
Number 65: Djinn Buster,7,1.0,85.714%,,
Gigantic Spright,14,2.0,85.714%,,
Spright Elf,20,2.86,85.714%,,
"Dharc the Dark Charmer, Gloomy",6,0.857,71.429%,,
I:P Masquerena,7,1.0,85.714%,,
Knightmare Unicorn,4,0.571,42.857%,,
Mekk-Knight Crusadia Avramax,5,0.714,57.143%,,
Knightmare Cerberus,3,0.429,42.857%,,
Knightmare Phoenix,3,0.429,42.857%,,
Unchained Abomination,1,0.143,14.286%,,
Topologic Zeroboros,1,0.143,14.286%,,
side
Testudo erat Numen,3,0.429,28.571%,,
Thunder King Rai-Oh,3,0.429,28.571%,,
Chaos Hunter,2,0.286,14.286%,,
Red Resonator,7,1.0,85.714%,,
The Winged Dragon of Ra - Sphere Mode,20,2.86,85.714%,,
Triple Tactics Talent,2,0.286,28.571%,,
Cosmic Cyclone,11,1.57,57.143%,,
Destructive Daruma Karma Cannon,3,0.429,0.000%,,
Eradicator Epidemic Virus,21,3.0,85.714%,,
Forbidden Droplet,6,0.857,28.571%,,
Called by the Grave,2,0.286,28.571%,,
"Nibiru, the Primal Being",9,1.29,42.857%,,
Harpie's Feather Duster,1,0.143,14.286%,,
Evenly Matched,3,0.429,14.286%,,
Dinowrestler Pankratops,3,0.429,42.857%,,
Spright Smashers,3,0.429,57.143%,,
Ghost Reaper & Winter Cherries,3,0.429,14.286%,,
Trap Trick,1,0.143,14.286%,,
Ghost Belle & Haunted Mansion,2,0.286,14.286%,,
